Skin type,Concern,Sensitivity,Fragrance Preference,Degree of Concern,Product Link,"Rating (Not recommended, OK, Great, Excellent) ",What active ingredient (or ingredients) are present for the concern?,"If there is fragrance in the product, is it impacting the rating? (put N/A if no fragrance) "
Combination,Aging,Yes,Yes fragrance,Medium,https://www.sephora.com/product/first-aid-beauty-ultra-repair-firming-collagen-cream-with-peptides-niacinamide-P468821?skuId=2417269&icid2=products grid:p468821:product,Great,"Niacinamide, Squalene, Ceramide NP, Pentapeptide-34 Trifluoroacetate, Saccharomyces Ferment, Chrysanthemum Parthenium (Feverfew) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, and Camellia Sinensis Leaf Extract",N/A
Combination,Aging,Yes,Don't care,Medium,https://www.sephora.com/product/first-aid-beauty-ultra-repair-firming-collagen-cream-with-peptides-niacinamide-P468821?skuId=2417269&icid2=products grid:p468821:product,Great,"Niacinamide, Squalene, Ceramide NP, Pentapeptide-34 Trifluoroacetate, Saccharomyces Ferment, Chrysanthemum Parthenium (Feverfew) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, and Camellia Sinensis Leaf Extract",N/A
Combination,Aging,No,Don't care,Severe,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Ok,,Yes
Combination,Aging,No,No fragrance,Mild,https://www.sephora.com/product/fresh-black-tea-anti-aging-moisturizer-with-retinol-alternative-bt-matrix-P503936?skuId=2636660&icid2=products grid:p503936:product,Ok,,Yes
Combination,Aging,Yes,Yes fragrance,Mild,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-cashmere-moisturizer-P467750?skuId=2744316&icid2=products grid:p467750:product,Not recommended,,Yes
Combination,Aging,No,No fragrance,Severe,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,Great,"Acetyl Hexapeptide-8, Squalene, Hydrolyzed Ginseng Saponins (Enzyme-Treated Red Ginseng Saponins), Retinol, sodium hyaluronate, Acetyl Octapeptide-3, Ascorbyl palmitate. ",Yes
Combination,Aging,No,No fragrance,Medium,https://www.sephora.com/product/fresh-black-tea-anti-aging-moisturizer-with-retinol-alternative-bt-matrix-P503936?skuId=2636660&icid2=products grid:p503936:product,Not recommended,,Yes
Combination,Dark Spots,No,Yes fragrance,Mild,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Great,"Niacinamide, Palmitoyl Grapevine Shoot Extract, Paeonia Lactiflora Root Extract",Yes
Combination,Dark Spots,Yes,Don't care,Medium,https://www.sephora.com/product/c-rush-tm-brightening-gel-cr-me-P430337?skuId=2071751&icid2=products grid:p430337:product,Not recommended,,Yes
Combination,Dark Spots,No,Yes fragrance,Medium,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Great,"Niacinamide, Palmitoyl Grapevine Shoot Extract, Paeonia Lactiflora Root Extract",Yes
Combination,Dark Spots,No,No fragrance,Mild,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Great,"Niacinamide, Palmitoyl Grapevine Shoot Extract, Paeonia Lactiflora Root Extract",Yes
Combination,Dark Spots,Yes,No fragrance,Mild,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,Not recommended,,Yes
Combination,Dark Spots,Yes,No fragrance,Severe,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,Not recommended,,Yes
Combination,Dark Spots,Yes,Don't care,Severe,https://www.sephora.com/product/c-rush-tm-brightening-gel-cr-me-P430337?skuId=2071751&icid2=products grid:p430337:product,Not recommended,,Yes
Normal,Acne,No,Don't care,Severe,https://www.sephora.com/product/the-inkey-list-supersolutions-acne-clearing-moisturizer-2-novoretin-P506554?skuId=2673333&icid2=products grid:p506554:product,Great,"Retinol, sulfur 3%, sodium hyaluronate",N/A
Normal,Acne,Yes,Yes fragrance,Medium,https://www.sephora.com/product/u-f-o-ultra-clarifying-face-oil-P410400?skuId=1842251&icid2=products grid:p410400:product,Ok,,N/A
Normal,Acne,Yes,Yes fragrance,Medium,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Ok,,Yes
Normal,Acne,No,No fragrance,Medium,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Not recommended,,Yes
Normal,Acne,Yes,Yes fragrance,Severe,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Ok,,Yes
Normal,Acne,No,Don't care,Mild,https://www.sephora.com/product/kiehls-expertly-clear-moisturizer-for-acne-prone-skin-with-salicylic-acid-P509461?skuId=2734788&icid2=products grid:p509461:product,Excellent,"Salicylic acid, Niacinamide",N/A
Normal,Acne,No,Don't care,Severe,https://www.sephora.com/product/kiehls-expertly-clear-moisturizer-for-acne-prone-skin-with-salicylic-acid-P509461?skuId=2734788&icid2=products grid:p509461:product,Great,"Salicylic acid, Niacinamide",N/A
Normal,Aging,Yes,No fragrance,Mild,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Not recommended,,Yes
Normal,Aging,Yes,No fragrance,Severe,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,Not recommended,,Yes
Normal,Aging,No,Don't care,Medium,https://www.sephora.com/product/first-aid-beauty-ultra-repair-firming-collagen-cream-with-peptides-niacinamide-P468821?skuId=2417269&icid2=products grid:p468821:product,Excellent,"Niacinamide, Squalene, Ceramide NP, Pentapeptide-34 Trifluoroacetate, Saccharomyces Ferment, Chrysanthemum Parthenium (Feverfew) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, and Camellia Sinensis Leaf Extract",N/A
Normal,Aging,Yes,Yes fragrance,Mild,https://www.sephora.com/product/fresh-black-tea-anti-aging-moisturizer-with-retinol-alternative-bt-matrix-P503936?skuId=2636660&icid2=products grid:p503936:product,Ok,,Yes
Normal,Aging,No,No fragrance,Mild,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-cashmere-moisturizer-P467750?skuId=2744316&icid2=products grid:p467750:product,Not recommended,,Yes
Normal,Aging,No,Don't care,Mild,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Ok,,Yes
Normal,Aging,Yes,Yes fragrance,Medium,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,Ok,,Yes
Normal,Dark Spots,No,Yes fragrance,Mild,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,Great,"Ascorbic acid, Ascorbyl palmitate",Yes
Normal,Dark Spots,No,Don't care,Medium,https://www.sephora.com/product/c5-super-boost-vitamin-c-moisturizer-P501282?skuId=2533529&icid2=products grid:p501282:product,Excellent,"3-O-Ethyl Ascorbic Acid, Ascorbyl Glucoside, Acetyl sh-Hexapeptide-5 Amide Acetate, Oryza Sativa (Rice) Bran Extract",N/A
Normal,Dark Spots,No,No fragrance,Mild,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Great,"Niacinamide, Palmitoyl Grapevine Shoot Extract, Paeonia Lactiflora Root Extract",Yes
Normal,Dark Spots,Yes,Yes fragrance,Mild,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,Ok,,Yes
Normal,Dark Spots,Yes,Don't care,Severe,https://www.sephora.com/product/c5-super-boost-vitamin-c-moisturizer-P501282?skuId=2533529&icid2=products grid:p501282:product,Great,"3-O-Ethyl Ascorbic Acid, Ascorbyl Glucoside, Acetyl sh-Hexapeptide-5 Amide Acetate, Oryza Sativa (Rice) Bran Extract",N/A
Normal,Dark Spots,Yes,Yes fragrance,Medium,https://www.sephora.com/product/c-rush-tm-brightening-gel-cr-me-P430337?skuId=2071751&icid2=products grid:p430337:product,Ok,,Yes
Normal,Dark Spots,No,No fragrance,Medium,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Great,"Niacinamide, Palmitoyl Grapevine Shoot Extract, Paeonia Lactiflora Root Extract",Yes
Normal,Dryness,Yes,No fragrance,Medium,https://www.sephora.com/product/the-dewy-skin-cream-P441101?skuId=2181006&icid2=products grid:p441101:product,Not recommended,,Yes
Normal,Dryness,No,Don't care,Severe,https://www.sephora.com/product/the-dewy-skin-cream-P441101?skuId=2181006&icid2=products grid:p441101:product,Ok,,Yes
Normal,Dryness,Yes,Yes fragrance,Severe,https://www.sephora.com/product/belif-the-true-cream-aqua-bomb-with-hyaluronic-acid-niacinamide-P510117?skuId=2742674&icid2=products grid:p510117:product,Not recommended,,Yes
Normal,Dryness,No,Don't care,Mild,https://www.sephora.com/product/belif-the-true-cream-aqua-bomb-with-hyaluronic-acid-niacinamide-P510117?skuId=2742674&icid2=products grid:p510117:product,Great,"Hyaluronic acid, Shea butter, Niacinamide, Panthenol",Yes
Normal,Dryness,Yes,No fragrance,Medium,https://www.sephora.com/product/ultra-facial-cream-P421996?skuId=2663763&icid2=products grid:p421996:product,Ok,,N/A (Doesn't contain synthetic fragrance but contains natural oils which may cause sensitivity)
Normal,Dryness,No,Yes fragrance,Severe,https://www.sephora.com/product/ultra-repair-cream-intense-hydration-P248407?skuId=1217744&icid2=products grid:p248407:product,Great,"Glycerin, Squalene, Bis-Peg-18 Methyl Ether Dimethyl Silane, Myristyl Myristate, Prunus Armeniaca Kernel Oil / Apricot Kernel Oil, Persea Gratissima Oil / Avocado Oil",N/A
Normal,Dryness,No,No fragrance,Medium,https://www.sephora.com/product/belif-the-true-cream-aqua-bomb-with-hyaluronic-acid-niacinamide-P510117?skuId=2742674&icid2=products grid:p510117:product,Not recommended,,Yes
Dry,Dryness,Yes,Yes fragrance,Medium,https://www.sephora.com/product/ultra-repair-cream-intense-hydration-P248407?skuId=1217744&icid2=products grid:p248407:product,Great,"Glycerin, Squalene, Bis-Peg-18 Methyl Ether Dimethyl Silane, Myristyl Myristate, Prunus Armeniaca Kernel Oil / Apricot Kernel Oil, Persea Gratissima Oil / Avocado Oil",N/A
Dry,Dryness,No,Yes fragrance,Severe,https://www.sephora.com/product/laneige-water-bank-blue-hyaluronic-cream-moisturizer-P482693?skuId=2735843&icid2=products grid:p482693:product,Ok,,Yes
Dry,Dryness,Yes,No fragrance,Medium,https://www.sephora.com/product/ultra-repair-cream-intense-hydration-P248407?skuId=1217744&icid2=products grid:p248407:product,Great,"Glycerin, Squalene, Bis-Peg-18 Methyl Ether Dimethyl Silane, Myristyl Myristate, Prunus Armeniaca Kernel Oil / Apricot Kernel Oil, Persea Gratissima Oil / Avocado Oil",N/A
Dry,Dryness,No,Don't care,Mild,https://www.sephora.com/product/ultra-repair-cream-intense-hydration-P248407?skuId=1217744&icid2=products grid:p248407:product,Excellent,"Glycerin, Squalene, Bis-Peg-18 Methyl Ether Dimethyl Silane, Myristyl Myristate, Prunus Armeniaca Kernel Oil / Apricot Kernel Oil, Persea Gratissima Oil / Avocado Oil",N/A
Dry,Dryness,No,No fragrance,Mild,https://www.sephora.com/product/belif-the-true-cream-aqua-bomb-with-hyaluronic-acid-niacinamide-P510117?skuId=2742674&icid2=products grid:p510117:product,Ok,,Yes
Dry,Dryness,No,No fragrance,Mild,https://www.sephora.com/product/ultra-facial-cream-P421996?skuId=2663763&icid2=products grid:p421996:product,Great,"Glycerin, Squalene, Bis-Peg-18 Methyl Ether Dimethyl Silane, Myristyl Myristate, Prunus Armeniaca Kernel Oil / Apricot Kernel Oil, Persea Gratissima Oil / Avocado Oil",N/A
